name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Houston,TX",2021-01-01,52.2,39.4,44.5,52.2,30.2,39.5,34.3,68,0.01,100,4.17,rain,0,0,26.4,18,292.8,1015.1,28.4,9.9,31.2,2.6,1,,2021-01-01T07:17:04,2021-01-01T17:33:38,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston,TX",2021-01-02,55.9,41.1,47.3,55.9,33.4,44.3,33.3,60,0,0,0,,0,0,22.4,19.6,307.4,1021.6,26.2,9.9,28.2,2.5,1,,2021-01-02T07:17:17,2021-01-02T17:34:21,0.63,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston,TX",2021-01-03,66.5,48.6,56.1,66.5,44.3,55,40,56,0,0,0,,0,0,23,15.2,192.8,1019.5,10.4,9.9,28.8,2.5,1,,2021-01-03T07:17:28,2021-01-03T17:35:05,0.66,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston,TX",2021-01-04,72.1,49,62.6,72.1,47.7,62.5,52,70.5,0,0,0,,0,0,19.7,15.6,237.1,1018.1,13.6,9.9,24,2.2,1,,2021-01-04T07:17:38,2021-01-04T17:35:50,0.7,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston,TX",2021-01-05,66.7,56.1,60.8,66.7,56.1,60.8,45.9,60.2,0,0,0,,0,0,20.6,15.5,104.2,1019.5,41.9,9.8,25.6,2.2,1,,2021-01-05T07:17:46,2021-01-05T17:36:36,0.73,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston,TX",2021-01-06,72.1,53.6,61.4,72.1,53.6,61.4,54.8,80,0.335,100,12.5,rain,0,0,37.6,25.2,153.5,1014.2,78,9.4,37.4,3.2,2,,2021-01-06T07:17:53,2021-01-06T17:37:22,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHOU,72059400188,E6288,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston,TX",2021-01-07,57.5,46.5,51.4,57.5,40.3,50,38,60.4,0.02,100,4.17,rain,0,0,36.4,20,316.8,1017.3,31.1,9.9,29.5,2.5,2,,2021-01-07T07:17:58,2021-01-07T17:38:09,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston,TX",2021-01-08,50.5,42.8,46.5,50.5,37.2,42.4,37,69.7,0,0,0,,0,0,24.2,16.1,355.9,1024.6,58.8,9.9,41.2,3.7,2,,2021-01-08T07:18:01,2021-01-08T17:38:57,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston,TX",2021-01-09,53.9,37.4,45.9,53.9,33.6,43.9,34,64.7,0,0,0,,0,0,13.9,9.6,54.1,1025.8,26,9.9,30.1,2.5,1,,2021-01-09T07:18:03,2021-01-09T17:39:45,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston,TX",2021-01-10,48.3,35.9,39.6,43.5,24.7,31.3,35.6,86.5,1.06,100,87.5,rain,0,0,29.8,21.5,40.6,1023.3,97.8,5.8,12.9,1,1,,2021-01-10T07:18:03,2021-01-10T17:40:34,0.91,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
